trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,doorStatus,lqi,manufacturer,model,ppc.charging,rssi,tamper,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574035200000,2019-11-18T00:00:00Z,11/18/2019 00:00:00,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574043059081,2019-11-18T02:10:59.081Z,11/18/2019 02:10:59,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574043142358,2019-11-18T02:12:22.358Z,11/18/2019 02:12:22,0,10,40,0,2.5,1,212,greenpeak,gpd,0,-56,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574043145711,2019-11-18T02:12:25.711Z,11/18/2019 02:12:25,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574075603735,2019-11-18T11:13:23.735Z,11/18/2019 11:13:23,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574075608197,2019-11-18T11:13:28.197Z,11/18/2019 11:13:28,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574075626032,2019-11-18T11:13:46.032Z,11/18/2019 11:13:46,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574075629347,2019-11-18T11:13:49.347Z,11/18/2019 11:13:49,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574076157938,2019-11-18T11:22:37.938Z,11/18/2019 11:22:37,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574076164638,2019-11-18T11:22:44.638Z,11/18/2019 11:22:44,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574077008514,2019-11-18T11:36:48.514Z,11/18/2019 11:36:48,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574077015501,2019-11-18T11:36:55.501Z,11/18/2019 11:36:55,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078579542,2019-11-18T12:02:59.542Z,11/18/2019 12:02:59,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078602385,2019-11-18T12:03:22.385Z,11/18/2019 12:03:22,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078625142,2019-11-18T12:03:45.142Z,11/18/2019 12:03:45,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078661718,2019-11-18T12:04:21.718Z,11/18/2019 12:04:21,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078777583,2019-11-18T12:06:17.583Z,11/18/2019 12:06:17,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078780970,2019-11-18T12:06:20.970Z,11/18/2019 12:06:20,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078835475,2019-11-18T12:07:15.475Z,11/18/2019 12:07:15,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574078838942,2019-11-18T12:07:18.942Z,11/18/2019 12:07:18,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574079057921,2019-11-18T12:10:57.921Z,11/18/2019 12:10:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574079090759,2019-11-18T12:11:30.759Z,11/18/2019 12:11:30,0,10,40,0,2.5,1,220,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574079230272,2019-11-18T12:13:50.272Z,11/18/2019 12:13:50,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574084457854,2019-11-18T13:40:57.854Z,11/18/2019 13:40:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574085357720,2019-11-18T13:55:57.720Z,11/18/2019 13:55:57,0,10,40,0,2.5,0,220,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574086257673,2019-11-18T14:10:57.673Z,11/18/2019 14:10:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574088057950,2019-11-18T14:40:57.950Z,11/18/2019 14:40:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574088957644,2019-11-18T14:55:57.644Z,11/18/2019 14:55:57,0,10,40,0,2.5,0,228,greenpeak,gpd,0,-53,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574089857628,2019-11-18T15:10:57.628Z,11/18/2019 15:10:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574095707684,2019-11-18T16:48:27.684Z,11/18/2019 16:48:27,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574095753240,2019-11-18T16:49:13.240Z,11/18/2019 16:49:13,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574096157534,2019-11-18T16:55:57.534Z,11/18/2019 16:55:57,0,10,40,0,2.5,0,208,greenpeak,gpd,0,-56,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574096160298,2019-11-18T16:56:00.298Z,11/18/2019 16:56:00,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574106957065,2019-11-18T19:55:57.065Z,11/18/2019 19:55:57,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574107323758,2019-11-18T20:02:03.758Z,11/18/2019 20:02:03,0,10,40,0,2.5,1,228,greenpeak,gpd,0,-53,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574107480855,2019-11-18T20:04:40.855Z,11/18/2019 20:04:40,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574109735082,2019-11-18T20:42:15.082Z,11/18/2019 20:42:15,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574109769298,2019-11-18T20:42:49.298Z,11/18/2019 20:42:49,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
