trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryLevelOrig,batteryVoltage,degC,lqi,manufacturer,model,rssi,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574035200000,2019-11-18T00:00:00Z,11/18/2019 00:00:00,100,60,2.9,25.0,148,greenpeak,gpd,-66,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574035858507,2019-11-18T00:10:58.507Z,11/18/2019 00:10:58,100,60,2.9,25.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574036758430,2019-11-18T00:25:58.430Z,11/18/2019 00:25:58,100,60,2.9,25.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574037658444,2019-11-18T00:40:58.444Z,11/18/2019 00:40:58,100,60,2.9,25.0,136,greenpeak,gpd,-68,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574038558322,2019-11-18T00:55:58.322Z,11/18/2019 00:55:58,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574039458490,2019-11-18T01:10:58.490Z,11/18/2019 01:10:58,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574040358225,2019-11-18T01:25:58.225Z,11/18/2019 01:25:58,100,60,2.9,25.0,152,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574041258097,2019-11-18T01:40:58.097Z,11/18/2019 01:40:58,100,60,2.9,25.0,136,greenpeak,gpd,-68,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574042158070,2019-11-18T01:55:58.070Z,11/18/2019 01:55:58,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574043058085,2019-11-18T02:10:58.085Z,11/18/2019 02:10:58,100,60,2.9,25.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574043958161,2019-11-18T02:25:58.161Z,11/18/2019 02:25:58,100,60,2.9,25.0,152,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574044858008,2019-11-18T02:40:58.008Z,11/18/2019 02:40:58,100,60,2.9,25.0,132,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574045758081,2019-11-18T02:55:58.081Z,11/18/2019 02:55:58,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574046657995,2019-11-18T03:10:57.995Z,11/18/2019 03:10:57,100,60,2.9,25.0,108,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574047558023,2019-11-18T03:25:58.023Z,11/18/2019 03:25:58,100,60,2.9,25.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574048458446,2019-11-18T03:40:58.446Z,11/18/2019 03:40:58,100,60,2.9,25.0,136,greenpeak,gpd,-68,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574049357953,2019-11-18T03:55:57.953Z,11/18/2019 03:55:57,100,60,2.9,25.0,104,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574050257751,2019-11-18T04:10:57.751Z,11/18/2019 04:10:57,100,60,2.9,25.0,148,greenpeak,gpd,-66,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574051157719,2019-11-18T04:25:57.719Z,11/18/2019 04:25:57,100,60,2.9,25.0,148,greenpeak,gpd,-66,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574052057679,2019-11-18T04:40:57.679Z,11/18/2019 04:40:57,100,60,2.9,25.0,108,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574052957724,2019-11-18T04:55:57.724Z,11/18/2019 04:55:57,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574053857663,2019-11-18T05:10:57.663Z,11/18/2019 05:10:57,100,60,2.9,25.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574054760272,2019-11-18T05:26:00.272Z,11/18/2019 05:26:00,100,60,2.9,25.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574055657609,2019-11-18T05:40:57.609Z,11/18/2019 05:40:57,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574056558252,2019-11-18T05:55:58.252Z,11/18/2019 05:55:58,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574057458059,2019-11-18T06:10:58.059Z,11/18/2019 06:10:58,100,60,2.9,25.0,148,greenpeak,gpd,-66,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574058357498,2019-11-18T06:25:57.498Z,11/18/2019 06:25:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574059257975,2019-11-18T06:40:57.975Z,11/18/2019 06:40:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574060157317,2019-11-18T06:55:57.317Z,11/18/2019 06:55:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574061057900,2019-11-18T07:10:57.900Z,11/18/2019 07:10:57,100,60,2.9,25.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574061957201,2019-11-18T07:25:57.201Z,11/18/2019 07:25:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574062857766,2019-11-18T07:40:57.766Z,11/18/2019 07:40:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574063757106,2019-11-18T07:55:57.106Z,11/18/2019 07:55:57,100,60,2.9,25.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574064657091,2019-11-18T08:10:57.091Z,11/18/2019 08:10:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574065557217,2019-11-18T08:25:57.217Z,11/18/2019 08:25:57,100,60,2.9,25.0,140,greenpeak,gpd,-67,
