trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574035200000,2019-11-18T00:00:00Z,11/18/2019 00:00:00,75,2.6,28.9,12.26.01,116,greenpeak,gpd,50,-71,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574035648387,2019-11-18T00:07:28.387Z,11/18/2019 00:07:28,75,2.6,28.9,12.26.01,116,greenpeak,gpd,59,-71,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574035649252,2019-11-18T00:07:29.252Z,11/18/2019 00:07:29,75,2.6,28.4,12.26.01,136,greenpeak,gpd,59,-68,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574035768937,2019-11-18T00:09:28.937Z,11/18/2019 00:09:28,75,2.6,28.4,12.26.01,88,greenpeak,gpd,50,-76,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574035769414,2019-11-18T00:09:29.414Z,11/18/2019 00:09:29,75,2.6,27.9,12.26.01,144,greenpeak,gpd,50,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574035888891,2019-11-18T00:11:28.891Z,11/18/2019 00:11:28,75,2.6,27.9,12.26.01,144,greenpeak,gpd,49,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574035889661,2019-11-18T00:11:29.661Z,11/18/2019 00:11:29,75,2.6,27.3,12.26.01,72,greenpeak,gpd,49,-79,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574036009105,2019-11-18T00:13:29.105Z,11/18/2019 00:13:29,75,2.6,27.3,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574036009883,2019-11-18T00:13:29.883Z,11/18/2019 00:13:29,75,2.6,26.8,12.26.01,148,greenpeak,gpd,48,-66,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574036129211,2019-11-18T00:15:29.211Z,11/18/2019 00:15:29,75,2.6,26.8,12.26.01,12,greenpeak,gpd,47,-88,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574036130163,2019-11-18T00:15:30.163Z,11/18/2019 00:15:30,75,2.6,26.4,12.26.01,108,greenpeak,gpd,47,-73,
