trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574035200000,2019-11-18T00:00:00Z,11/18/2019 00:00:00,100,2.8,21.8,12.26.01,80,greenpeak,gpd,51,-77,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574035740267,2019-11-18T00:09:00.267Z,11/18/2019 00:09:00,100,2.8,21.8,12.26.01,92,greenpeak,gpd,53,-75,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574035741115,2019-11-18T00:09:01.115Z,11/18/2019 00:09:01,100,2.8,21.7,12.26.01,88,greenpeak,gpd,53,-76,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574036641624,2019-11-18T00:24:01.624Z,11/18/2019 00:24:01,100,2.8,21.7,12.26.01,72,greenpeak,gpd,52,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574036642366,2019-11-18T00:24:02.366Z,11/18/2019 00:24:02,100,2.8,21.9,12.26.01,96,greenpeak,gpd,52,-75,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574037542795,2019-11-18T00:39:02.795Z,11/18/2019 00:39:02,100,2.8,21.9,12.26.01,68,greenpeak,gpd,52,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574037543731,2019-11-18T00:39:03.731Z,11/18/2019 00:39:03,100,2.8,21.9,12.26.01,72,greenpeak,gpd,52,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574038444116,2019-11-18T00:54:04.116Z,11/18/2019 00:54:04,100,2.8,21.9,12.26.01,88,greenpeak,gpd,51,-76,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574038444966,2019-11-18T00:54:04.966Z,11/18/2019 00:54:04,100,2.8,21.8,12.26.01,88,greenpeak,gpd,51,-76,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574039345420,2019-11-18T01:09:05.420Z,11/18/2019 01:09:05,100,2.8,21.8,12.26.01,100,greenpeak,gpd,51,-74,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574039346226,2019-11-18T01:09:06.226Z,11/18/2019 01:09:06,100,2.8,21.8,12.26.01,64,greenpeak,gpd,51,-80,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574040246795,2019-11-18T01:24:06.795Z,11/18/2019 01:24:06,100,2.8,21.8,12.26.01,64,greenpeak,gpd,51,-80,
