trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,1fef000100976d28,Stair Motion Sensor,1574035200000,2019-11-18T00:00:00Z,11/18/2019 00:00:00,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574035841907,2019-11-18T00:10:41.907Z,11/18/2019 00:10:41,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574035861798,2019-11-18T00:11:01.798Z,11/18/2019 00:11:01,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036439052,2019-11-18T00:20:39.052Z,11/18/2019 00:20:39,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036456036,2019-11-18T00:20:56.036Z,11/18/2019 00:20:56,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036689454,2019-11-18T00:24:49.454Z,11/18/2019 00:24:49,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036704659,2019-11-18T00:25:04.659Z,11/18/2019 00:25:04,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036797788,2019-11-18T00:26:37.788Z,11/18/2019 00:26:37,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036814377,2019-11-18T00:26:54.377Z,11/18/2019 00:26:54,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036877416,2019-11-18T00:27:57.416Z,11/18/2019 00:27:57,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036907223,2019-11-18T00:28:27.223Z,11/18/2019 00:28:27,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036929697,2019-11-18T00:28:49.697Z,11/18/2019 00:28:49,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036964595,2019-11-18T00:29:24.595Z,11/18/2019 00:29:24,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036976388,2019-11-18T00:29:36.388Z,11/18/2019 00:29:36,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574036999373,2019-11-18T00:29:59.373Z,11/18/2019 00:29:59,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574037335134,2019-11-18T00:35:35.134Z,11/18/2019 00:35:35,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574037352776,2019-11-18T00:35:52.776Z,11/18/2019 00:35:52,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574038530112,2019-11-18T00:55:30.112Z,11/18/2019 00:55:30,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574038582624,2019-11-18T00:56:22.624Z,11/18/2019 00:56:22,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574039793051,2019-11-18T01:16:33.051Z,11/18/2019 01:16:33,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574039834226,2019-11-18T01:17:14.226Z,11/18/2019 01:17:14,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
