trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574035200000,2019-11-18T00:00:00Z,11/18/2019 00:00:00,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574035495627,2019-11-18T00:04:55.627Z,11/18/2019 00:04:55,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574035511195,2019-11-18T00:05:11.195Z,11/18/2019 00:05:11,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036199866,2019-11-18T00:16:39.866Z,11/18/2019 00:16:39,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036215342,2019-11-18T00:16:55.342Z,11/18/2019 00:16:55,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036273201,2019-11-18T00:17:53.201Z,11/18/2019 00:17:53,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036288805,2019-11-18T00:18:08.805Z,11/18/2019 00:18:08,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036491867,2019-11-18T00:21:31.867Z,11/18/2019 00:21:31,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036507467,2019-11-18T00:21:47.467Z,11/18/2019 00:21:47,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036893444,2019-11-18T00:28:13.444Z,11/18/2019 00:28:13,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036908963,2019-11-18T00:28:28.963Z,11/18/2019 00:28:28,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036950284,2019-11-18T00:29:10.284Z,11/18/2019 00:29:10,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574036965820,2019-11-18T00:29:25.820Z,11/18/2019 00:29:25,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574037001847,2019-11-18T00:30:01.847Z,11/18/2019 00:30:01,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574037017287,2019-11-18T00:30:17.287Z,11/18/2019 00:30:17,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574037278475,2019-11-18T00:34:38.475Z,11/18/2019 00:34:38,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574037293998,2019-11-18T00:34:53.998Z,11/18/2019 00:34:53,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
