trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574035200000,2019-11-18T00:00:00Z,11/18/2019 00:00:00,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574035368971,2019-11-18T00:02:48.971Z,11/18/2019 00:02:48,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574037168448,2019-11-18T00:32:48.448Z,11/18/2019 00:32:48,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574038068335,2019-11-18T00:47:48.335Z,11/18/2019 00:47:48,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574038568716,2019-11-18T00:56:08.716Z,11/18/2019 00:56:08,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574038578632,2019-11-18T00:56:18.632Z,11/18/2019 00:56:18,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574039478478,2019-11-18T01:11:18.478Z,11/18/2019 01:11:18,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574039787479,2019-11-18T01:16:27.479Z,11/18/2019 01:16:27,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574039795409,2019-11-18T01:16:35.409Z,11/18/2019 01:16:35,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574040695496,2019-11-18T01:31:35.496Z,11/18/2019 01:31:35,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
